variável,média,desvio_padrao,assimetria,curtose,valor_min,90%,99%,valor_max,amplitude,moda_valor,frequência_moda,frequência_total
ESS(Electricity(kBtu))=Muito_Grande),67.4894,24.4998,-1.0928,0.464,1.0,94.0,100.0,100.0,99.0,73.203,346,1311
ESS(NaturalGas(kBtu))=Muito_baixa),75.8173,19.6242,-1.3608,2.0451,1.0,97.0,100.0,100.0,99.0,73.203,1128,5854
ESS(NaturalGas(kBtu))=Baixa),69.2773,24.6032,-0.9349,0.2459,1.0,98.0,100.0,100.0,99.0,73.203,211,1203
ESS(NaturalGas(kBtu))=Média),68.0825,26.0559,-0.8422,-0.171,1.0,98.0,100.0,100.0,99.0,73.203,106,569
ESS(NaturalGas(kBtu))=Grande),66.3644,28.0415,-0.7286,-0.5141,1.0,99.0,100.0,100.0,99.0,73.203,56,293
ESS(NaturalGas(kBtu))=Muito_Grande),65.4221,24.8813,-1.0041,0.2344,1.0,93.0,100.0,100.0,99.0,73.203,247,828
ESS(TotalGHGEmissions)=Muito_baixa),76.5849,19.0168,-1.358,2.0999,1.0,97.0,100.0,100.0,99.0,73.203,960,5113
ESS(TotalGHGEmissions)=Baixa),70.1945,23.7205,-0.9754,0.4248,1.0,97.0,100.0,100.0,99.0,73.203,224,1339
ESS(TotalGHGEmissions)=Média),67.1084,25.7678,-0.8148,-0.1394,1.0,98.0,100.0,100.0,99.0,73.203,115,696
ESS(TotalGHGEmissions)=Grande),69.4148,26.3644,-1.021,0.2308,1.0,98.7,100.0,100.0,99.0,73.203,87,404
ESS(TotalGHGEmissions)=Muito_Grande),66.2832,24.9549,-1.0231,0.2697,1.0,94.0,100.0,100.0,99.0,73.203,362,1195
ESS(GHGEmissionsIntensity)=Muito_baixa),76.1009,20.0202,-1.3036,1.7472,1.0,98.0,100.0,100.0,99.0,73.203,1244,7238
ESS(GHGEmissionsIntensity)=Baixa),62.1955,23.808,-0.8789,-0.0955,1.0,88.0,99.82,100.0,99.0,73.203,259,919
ESS(GHGEmissionsIntensity)=Média),53.9309,26.6662,-0.6114,-1.0058,2.0,73.203,97.04,100.0,98.0,73.203,112,297
ESS(GHGEmissionsIntensity)=Grande),52.3838,28.5049,-0.6302,-0.9991,1.0,75.6,97.48,100.0,99.0,73.203,48,127
ESS(GHGEmissionsIntensity)=Muito_Grande),53.5075,25.8698,-0.8261,-0.7964,1.0,73.203,84.7,92.0,91.0,73.203,85,166
